DATA, HORARIO, DXY
2026-03-12,08:40:00,-0.1409
2026-03-12,08:40:00,-0.12
2026-03-13,08:40:00,0.3833
2026-03-15,08:40:00,0.61
2026-03-16,08:40:00,-0.365
2026-03-17,08:40:00,0.0108
2026-03-18,08:40:00,0.0358
2026-03-19,08:40:00,-0.0617
2026-03-20,08:40:00,0.0958
2026-03-21,08:40:00,0.4
2026-03-22,08:40:00,0.4
2026-03-23,08:40:00,-0.2767
2026-03-24,08:40:00,0.3717
2026-03-25,08:40:00,-0.1825
2026-03-26,08:40:00,0.2483
2026-03-27,08:40:00,0.1808
2026-03-30,08:40:00,0.1617
2026-03-31,08:40:00,-0.1508
2026-04-01,08:40:00,-0.5025
2026-04-02,08:40:00,0.5908
2026-04-03,08:40:00,0.3708
2026-04-04,08:40:00,0.13
----------,--:--:--,-.--
2026-04-05,08:40:00,0.13
2026-04-06,08:40:00,-0.075
2026-04-07,08:40:00,-0.38
2026-04-07,08:40:00,-0.38
2026-04-07,08:40:00,-0.38
